Year,,Australia,Austria,Belgium,Canada,Chile,Colombia,Costa Rica,Czech Republic,Czechia,Denmark,Estonia,Finland,France,Germany,Greece,Hungary,Iceland,Ireland,Israel,Italy,Japan,Korea,Latvia,Lithuania,Luxembourg,Mexico,Netherlands,New Zealand,Norway,Poland,Portugal,Slovak Republic,Slovenia,South Korea,Spain,Sweden,Switzerland,Turkiye,Türkiye,United Kingdom,United States
1966-01-01 00:00:00,Inflation_perc_change,-3.293413151586011,-58.32781503688437,2.684891446490756,63.57564524972823,-37.05017186749384,120.37762340587403,-127.50117860526137,,,29.63228804213436,,-21.595284494784973,-3.740284209997502,8.967072541228616,52.23874917965938,,46.050862782656665,-38.76858438217723,2.88044473942195,-48.0759102006554,-24.266242214446464,,,,-0.05998045410684494,18.1542237141743,47.44330760352098,-18.89656855818935,-22.369498230192786,-4.358857249917509,47.1349922424948,,,-16.879074141974748,-52.775071983054175,27.769807852809713,39.8743452312178,85.97154148492956,,-18.102169514392198,90.20526359385683
1967-01-01 00:00:00,CurrencyPerDollar,0.892857,1.889494,1.239468,1.07871,0.005068,14.506667,6.625,,,6.956542,,0.580247,0.75265,2.045168,0.088041,,0.441667,0.459776,0.000308,0.322786,360.0,,,,1.239468,0.0125,1.642684,0.733666,7.14286,0.0004,0.143404,,,270.511667,0.370624,5.17321,4.37295,9e-06,,0.362103,1.0
1967-01-01 00:00:00,Inflation,3.47826087,3.974672929,2.730302686,3.579952267,3.932892663,8.328191364,1.208340311,,,8.207853558,,5.377781834,2.791777094,1.796049922,1.841357028,,3.320218678,3.18331504,1.70609316,3.733338321,3.989848089,,,,2.166156987,3.016948475,3.455332183,6.056920063,4.579269758,4.6472142715,5.526476008,,,10.88244006,6.391631088,4.28931923,4.005196216,13.97489295,,2.482115605,2.772785623
1967-01-01 00:00:00,Inflation_perc_change,5.612648223408123,93.431628169399,-34.593308099863826,-6.177354863193985,-46.73877007475931,-50.21456486102169,560.7182632412998,,,16.176933910681868,,38.82968916744653,7.293477022750405,-49.164470981702216,-62.44746432598236,,-68.93113516864614,4.224092473084395,-78.48658147892773,59.09639165629849,-20.849414495441344,,,,-34.98303754896914,-28.43690894306956,-40.03387558303084,119.81354825456911,40.876188980021965,269.48060466758324,9.668246747523801,,,-3.3649930629135794,2.423960048954066,-33.029701115706445,-16.138749433635567,64.95395648615737,,-36.51257649586632,-8.035943507358635
1968-01-01 00:00:00,CurrencyPerDollar,0.892857,1.889494,1.239468,1.077471,0.006876,16.291667,6.625,,,7.5,,0.706384,0.75265,2.045168,0.088041,,0.621667,0.529058,0.00035,0.322786,360.0,,,,1.239468,0.0125,1.642684,0.892857,7.14286,0.0004,0.143404,,,276.643333,0.420708,5.17321,4.37295,9e-06,,0.416667,1.0
1968-01-01 00:00:00,Inflation,2.521008403,2.764864473,2.701449829,4.055299539,6.028742836499999,7.447538783,4.093891431,,,8.005207104,,9.191667995,4.543204864,1.470289313,0.139060584,,15.2317984,4.680851064,2.079221858,1.277313354,5.339432957,,,,2.62542909,2.333950935,3.72079328,4.311924966,3.448293243,4.2021867155,6.081361711,,,10.7718214,4.954366117,1.943125825,2.39582227,6.046239662,,4.697427988,4.271796153
1968-01-01 00:00:00,Inflation_perc_change,-27.521008422809867,-30.43793735008983,-1.0567640411426549,13.278033798990885,121.99607524960646,-10.574355733548202,238.80285162480197,,,-2.468933595951961,,70.91931727106204,62.73522960569142,-18.137614384195267,-92.44792933225767,,358.75889142263304,47.04328679953711,21.870358943353363,-65.7862951553273,33.82546999021845,,,,21.202161512590312,-22.638687589783913,7.682650551112014,-28.809941007141195,-24.697748216823868,-5.726256219241101,10.040497818080807,,,-1.0164876570889159,-22.486669696854054,-54.698502937026674,-40.18214986748604,-56.73498406297273,,89.25097519782928,54.06153716197339
1969-01-01 00:00:00,CurrencyPerDollar,0.892857,1.889494,1.239468,1.076781,0.008618,17.321667,6.625,,,7.5,,0.706384,0.79185,2.016194,0.088041,,0.88,0.529058,0.00035,0.322786,360.0,,,,1.239468,0.0125,1.642684,0.892857,7.14286,0.0004,0.143404,,,288.241667,0.420708,5.17321,4.37295,9e-06,,0.416667,1.0
1969-01-01 00:00:00,Inflation,3.278688525,3.080404195,3.753992291,4.561558902,6.028742836499999,6.98166308,2.629340837,,,3.487919244,,2.205610935,6.045962842,1.912678488,2.638918688,,21.76329492,7.418699186,2.458054256,2.657252734,5.249820911,,,,2.29443437,3.367003367,7.421790055,4.925242427,2.962949511,4.2021867155,8.782771056,,,12.38956471,2.160347136,2.691994586,2.48903599,4.924193945,,5.44666363,5.4623862
1969-01-01 00:00:00,Inflation_perc_change,30.054644843641153,11.412484231374487,38.96213250755136,12.483895656320332,203.20694293002128,-6.255431714748816,-35.774045762670845,,,-56.42936905083724,,-76.0042362691974,33.07704633589685,30.088579920188806,1797.67553974892,,42.880665489900395,58.4903916951458,18.219912249498883,108.03452227901786,-1.6783064179599516,,,,-12.607261847624308,44.26196011699795,99.46794934546861,14.223750780360845,-14.074897283902487,-1235.1311935581657,44.421125948053316,,,15.018289386045701,-56.39508496178423,38.53938594017707,3.890677583525437,-18.557744643368057,,15.949912248021448,27.87094712288345
