country,year,unemployment_percentage_change,inflation_percentage_change
Estonia,2020,54.0983606557377,-119.52044265040642
Estonia,2021,-11.184588844163324,-1146.7584290357115
Estonia,2022,-9.825186144383302,316.8830498074448
Estonia,2023,13.89337641357027,-52.783272984743945
Finland,1990,0.0,-6.7245647720754365
Finland,1991,0.0,-29.91028342134633
Finland,1992,78.30232200522835,-32.269628853957364
Finland,1993,39.72401897369555,-24.9602373162114
Finland,1994,1.388803160298724,-50.30903211938619
Finland,1995,3.524899549494709,-27.312986842314224
Finland,1996,-8.426933254925018,-20.47991639021083
Finland,1997,-3.878756742871814,89.53746903193986
Finland,1998,-11.7116515232496,17.350502641951838
Finland,1999,-11.517215285660232,-16.95224529200292
Finland,2000,-4.772085863337039,161.7465330964164
Finland,2001,-7.5797036371800575,-15.241441208427386
Finland,2002,1.2826741813234843,-39.06316843145549
Finland,2003,0.4413316703444137,-44.155476984826414
Finland,2004,-1.0602731875059557,-78.67427098346485
Finland,2005,-19.057733153118363,233.40775237850804
Finland,2006,-7.9317748091603075,151.11844330217403
Finland,2007,-11.206114781707477,60.255546900497215
Finland,2008,-7.076159906623869,61.94723302806391
Finland,2009,29.53367875647668,-100.00002255313514
Finland,2010,1.745454545454539,-129131532.06106871
Finland,2011,-7.302835358589476,188.5487612110844
Finland,2012,-1.1823673049736527,-17.808182326410883
Finland,2013,6.554818571985943,-47.36078453449398
Finland,2014,5.736604418405955,-29.56734343552404
Finland,2015,8.230405171418663,-119.97018790537052
Finland,2016,-5.951365187713309,-271.54162020044936
Finland,2017,-2.018598321614873,111.39551757534876
Finland,2018,-14.803240740740751,43.739967565925774
Finland,2019,-9.047683738622458,-5.5107859029974176
Finland,2020,15.892457057505592,-71.62813414976496
Finland,2021,-1.9719035958242093,655.3054246377055
Finland,2022,-11.661845911122793,224.59633097602776
Finland,2023,6.489060872153596,-12.253296321367246
France,1990,0.0,-8.690467804401447
France,1991,0.0,0.5986927809767506
France,1992,11.703525290124794,-26.44068352786264
France,1993,10.957561501519164,-10.969711020164397
France,1994,11.23575655860789,-21.333113998812586
France,1995,-6.027157944890016,8.514937284522105
France,1996,4.503971607233415,10.375962023377916
France,1997,1.6091210479501905,-39.28322827247922
France,1998,-3.915327073054276,-45.91713225213149
France,1999,-0.7702501242338955,-17.505840198257637
France,2000,-14.714965361822884,212.0145163424949
France,2001,-15.736934820904292,-2.4570452025383216
France,2002,1.068524970963991,17.65566936452787
France,2003,-4.539186393932426,9.10152779948421
France,2004,7.3070904056819375,2.078533858445586
France,2005,-0.3589858649315713,-18.49690477426452
France,2006,-0.551677550101326,-4.052128381353515
France,2007,-9.328653911468354,-11.170897234613664
France,2008,-7.778748907479094,89.03666776285985
France,2009,23.50392634714325,-96.88500610450684
France,2010,1.721113790835349,1647.4484720341288
France,2011,-0.5496281926931745,37.91173930629663
France,2012,6.642826181187678,-7.454195333487412
France,2013,0.7316329641296804,-55.80198709267605
France,2014,3.631594875416111,-41.2122598036327
France,2015,0.7884746422661237,-92.6117717111535
France,2016,-2.868456635116856,388.705547347296
France,2017,-6.433330018892313,463.0586269132962
France,2018,-4.1657810839532345,79.29342335780247
France,2019,-6.686626746507008,-40.12071042755815
France,2020,-4.812834224598928,-57.00458052465607
France,2021,-1.6978776529338324,244.6663931423986
France,2022,-7.188214376428748,217.98499695015883
France,2023,0.2052545155993401,-6.587246494122823
Germany,1990,0.0,-3.0246074160786063
Germany,1991,0.0,50.08641798419282
Germany,1992,18.94281414597443,24.9552071683115
Germany,1993,21.38225525857977,-11.516788540518464
Germany,1994,13.70684039087948,-39.81427305611733
Germany,1995,-6.519995416523439,-36.64594571307379
Germany,1996,8.13924981613141,-15.02985247143933
Germany,1997,11.777374744955814,33.77497709879202
Germany,1998,-0.7504309907717222,-53.0165672099949
